,1/19/15 00:25:28,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,.81685,LMT,GTC,CANCELED
,,RE #468404306,,,,,,,,,,
,,OCO #468404305,,,,,,,,,,
,1/19/15 00:25:28,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,RE #468404307,,,,,,,.82515,STP,STD,
,,OCO #468404305,,,,,,,,,,
,1/19/15 00:20:46,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,RE #468404307,,,,,,,.8246,STP,STD,
,,OCO #468404305,,,,,,,,,,
,1/19/15 00:20:20,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,RE #468404307,,,,,,,.82524,STP,STD,
,,OCO #468404305,,,,,,,,,,
,1/19/15 00:20:05,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,OCO #468404305,,,,,,,.824,STP,STD,
,1/19/15 00:20:05,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,.8163,LMT,GTC,CANCELED
,,OCO #468404305,,,,,,,,,,
,1/19/15 00:08:12,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,118.204,LMT,GTC,CANCELED
,,RE #468402478,,,,,,,,,,
,,TRG BY #468402476,,,,,,,,,,
,,OCO #468402477,,,,,,,,,,
,1/19/15 00:07:25,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,117.335,LMT,GTC,CANCELED
,,RE #468402478,,,,,,,,,,
,,TRG BY #468402476,,,,,,,,,,
,,OCO #468402477,,,,,,,,,,
,1/19/15 00:04:12,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,118.257,LMT,GTC,CANCELED
,,RE #468402478,,,,,,,,,,
,,TRG BY #468402476,,,,,,,,,,
,,OCO #468402477,,,,,,,,,,
,1/18/15 23:55:02,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468402476,,,,,,,TRG-.40,STP,STD,
,,OCO #468402477,,,,,,,116.61,STP,,
,1/18/15 23:55:02,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,TRG+.40,LMT,GTC,CANCELED
,,TRG BY #468402476,,,,,,,117.41,LMT,,
,,OCO #468402477,,,,,,,,,,
,1/18/15 23:55:02,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,1/18/15 22:18:00,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468395071,,,,,,,TRG+.004,STP,STD,
,,OCO #468395072,,,,,,,.82453,STP,,
,1/18/15 22:18:00,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,TRG-.004,LMT,GTC,CANCELED
,,TRG BY #468395071,,,,,,,.81653,LMT,,
,,OCO #468395072,,,,,,,,,,
,1/18/15 22:18:00,FOREX,SELL,TO OPEN,AUD/USD,,,FOREX,.82053,LMT,GTC,FILLED
